frame	cav_1	cav_2	cav_3	cav_4	cav_5	cav_6	cav_7	cav_8	cav_9	cav_10	cav_11	cav_12	cav_13	cav_14	cav_15	cav_16	cav_17	cav_18	cav_19	cav_20	cav_21	cav_22	cav_23	cav_24	cav_25	cav_26	cav_27	cav_28	cav_29	cav_30	cav_31	cav_32	cav_33	cav_34	cav_35	cav_36	cav_37	cav_38	cav_39	cav_40	cav_41	cav_42	cav_43	cav_44	cav_45	cav_46	cav_47	cav_48	cav_49	cav_50	cav_51	cav_52	cav_53	cav_54	cav_55	cav_56	cav_57	cav_58	cav_59	cav_60	cav_61	cav_62	cav_63	cav_64	cav_65	cav_66	cav_67	cav_68	cav_69	cav_70	cav_71	cav_73	cav_74	cav_75	cav_76	cav_77	cav_78	cav_79	cav_80	cav_81	cav_82	cav_83	cav_84	cav_85	cav_86	cav_87	cav_88	cav_89	cav_90	cav_91	cav_92	cav_93	cav_94	cav_95	cav_96	cav_97	cav_98	cav_99	cav_100	cav_101	cav_102	cav_103	cav_104	cav_105	cav_106	cav_107	cav_108	cav_109	cav_110	cav_111	cav_112	cav_113	cav_114	cav_115	cav_116	cav_117	cav_118	cav_119	cav_120	cav_121	cav_122	cav_123	cav_124	cav_125	cav_126	cav_127	cav_128	cav_129	cav_130	cav_131	cav_132	cav_133	cav_134	cav_135	cav_136	cav_137	cav_138	cav_139	cav_140	cav_141	cav_142	cav_143	cav_144	cav_145	cav_146	cav_147	cav_148	cav_149	cav_150	cav_151	cav_152	cav_153	cav_154	cav_155	cav_156	cav_157	cav_158	cav_159	cav_160	cav_161	cav_162	cav_163	cav_164	cav_165	cav_166	cav_167	cav_168	cav_169	cav_170	cav_171	cav_172	cav_173	cav_174	cav_175	cav_176	cav_177	cav_178	cav_179	cav_180	cav_181	cav_182	cav_183	cav_184	cav_185	cav_186	cav_187	cav_188	cav_189	cav_190	cav_191	cav_192	cav_193	cav_194	cav_195	cav_196	cav_197	cav_198	cav_199	cav_200	cav_201	cav_202	cav_203	cav_204	cav_205	cav_206	cav_207	cav_208	cav_209	cav_210	cav_211	cav_212	cav_213	cav_214	cav_215	cav_216	cav_217	cav_218	cav_219	cav_220	cav_221	cav_222	cav_223	cav_224	cav_225	cav_226	cav_227	cav_228	cav_229	cav_230	cav_231	cav_232	cav_233	cav_234	cav_235	cav_236	cav_237	cav_238	cav_239	cav_240	cav_241	cav_242	cav_243	cav_244	cav_245	cav_246	cav_247	cav_248	cav_249	cav_250	cav_251	cav_252	cav_253	cav_254	cav_255	sum
1	0	0	107.38	15.38	0	0	54.75	13.5	0	0	0	0	15	0	0	0	41.75	0	0	64.5	0	24.38	0	62.25	0	22.25	0	0	0	98.88	44.12	213.88	0	0	0	0	0	0	0	0	0	0	51.12	145.75	0	0	0	0	0	0	98.25	0	0	0	0	0	0	16.12	24.88	0	0	0	0	38.88	0	0	0	0	17.75	0	0	0	0	0	35.12	0	0	180.88	34	0	105.88	0	0	0	18.75	0	0	0	0	0	0	88.12	0	0	0	33.5	58.25	0	0	0	0	232.38	0	173.88	175.38	0	0	36.38	0	0	0	107.25	0	0	56.5	58.38	37.25	0	28.38	37.88	0	12.75	0	0	0	0	60.38	106.25	0	0	0	20	123.62	23	0	0	20.38	0	0	0	0	0	0	164.88	53.62	0	0	35.88	0	69	0	25	0	0	0	17.88	0	0	0	0	139.38	0	0	62	235.88	0	31.75	80.62	0	0	0	0	0	0	42.62	0	0	18.38	0	12.75	0	0	0	0	595.62	23.38	0	0	21.88	12.25	39.75	34.75	96.75	0	0	0	0	0	0	20.38	68.5	56.12	0	105.5	61.38	131	0	0	484.62	97.38	0	0	0	45.12	0	14.5	0	15.25	188.38	69.88	33.88	0	66.75	39.12	0	55.62	29.5	0	0	75.38	88.12	287.38	19.75	388	42.25	17.62	24.25	0	0	0	655.25	0	0	0	28.38	14	0	0	28.88	0	75.75	22.5	32.62	35.38	18133
2	0	0	105.25	19.25	0	0	64.5	21.25	0	0	0	0	17.88	0	0	0	14.25	0	0	75.88	0	0	0	61.75	0	25.5	0	0	0	0	43	149.75	0	0	0	0	0	0	0	0	0	0	46.88	137.38	0	0	0	0	12.75	0	81.5	0	0	0	0	0	0	26.25	0	0	0	0	0	39	0	0	0	0	18.12	0	0	19.12	0	0	35.88	0	0	176	28.88	0	97.12	0	0	0	19	0	0	0	0	0	0	87	0	0	0	16.75	25.62	0	0	0	0	213	0	165	209.62	0	0	25.12	0	0	13.12	112.75	0	0	61.12	50.75	12.62	0	50.38	57.25	0	16.75	0	0	0	0	63	72.88	0	0	0	0	111.38	0	0	12.62	17.25	0	0	0	0	0	0	176.12	45.75	0	0	122.12	21.5	65.12	0	19.62	0	0	0	0	0	0	0	0	133.12	0	0	63.38	246.12	0	21.12	76.75	0	0	0	0	0	0	32.62	0	0	16.62	0	0	0	0	0	0	607.5	16.62	0	0	15.38	17.5	108.88	12.75	50.62	0	0	0	0	13	0	0	64	59	0	153.25	49.25	109.75	0	0	448.25	112.12	12	0	0	44.25	0	12	0	14	133.88	74.88	30.5	0	89.5	22.12	0	41.25	0	0	0	105.62	78.12	272.88	28.25	386.25	36.25	0	18.12	0	0	20.75	543.62	0	0	0	35	0	0	0	26	0	105.38	0	41.62	25.5	17611.38
3	0	0	109	0	0	12.75	86	18.88	0	0	0	0	17.62	0	0	0	77.62	18.5	0	79.88	0	14	0	60.62	0	18.38	0	0	0	27.88	28.75	79	0	0	0	0	0	0	18.38	0	0	0	38.5	126.12	0	0	0	0	0	0	69.25	0	0	0	14	0	0	60.38	0	62	0	0	0	33.12	0	0	19	0	25.62	0	0	404.12	18	0	60.75	0	0	49.38	32.62	0	126.88	0	0	0	16	0	0	0	0	0	0	83.5	12.88	0	0	0	22.88	0	0	0	0	199	0	132.12	423.25	0	0	0	0	0	16.25	113.5	0	0	68.5	49.38	12.75	0	63.25	27.38	0	33.25	0	0	0	0	58.88	57.12	0	0	0	0	109.12	0	40.62	0	17.5	12.12	0	0	0	0	0	198.5	37.38	0	0	116.62	31	96.38	0	0	30.38	0	0	23.62	0	0	0	0	0	0	0	74.62	260.5	0	24.62	80.5	0	0	0	0	0	0	14.62	0	0	18	0	0	0	0	0	0	609.25	17	0	0	15	21.25	309.25	0	0	0	0	0	0	0	0	0	39	54.75	0	128.12	70.5	87.12	0	0	475.25	80	14.12	0	0	45.38	0	16.75	0	0	51.62	80	17	0	131.25	12.75	0	40.5	20.38	0	0	96	75	271.5	47.75	374.88	56.75	0	25.12	0	0	25.75	566.12	0	0	0	23.38	0	0	0	19.88	17.88	47.25	0	21.5	0	10244.12
4	0	0	109.62	0	0	30	69.38	0	0	0	0	21.38	12.75	0	0	18.25	70	17.5	0	94.75	0	0	0	71.38	0	17	0	0	12.25	0	24.25	139.12	0	0	0	0	0	0	16.62	0	0	0	0	117	0	0	0	0	0	0	63.62	0	0	0	12.75	0	0	126.62	0	72.62	0	0	0	40	0	0	28.62	0	31.62	0	0	455.88	14.75	0	68.38	0	0	23.38	47.25	0	114.88	39.75	0	0	16.5	0	0	0	0	0	0	97.75	19.88	0	0	0	22.88	0	0	0	0	149.38	0	126.38	448.38	0	38.5	0	0	44.12	24.62	107.75	0	0	77.25	39.5	12.75	0	76	17.5	0	19.75	0	0	23.12	0	54.75	53.38	0	0	0	0	107.62	0	94.12	0	12.75	20.25	0	0	0	0	0	271.5	37.25	0	0	128.75	41.62	84.88	0	0	28	0	0	12.5	0	0	0	0	0	0	0	70.38	286.38	0	49.25	53	0	0	0	0	0	0	12.75	0	0	16	0	54.5	0	16.62	0	0	631.75	0	0	0	19.5	16.25	429.62	0	0	0	0	0	0	0	0	42.25	34.62	43	0	115	92.38	72.75	0	0	455.75	87.12	0	15	0	36.62	14.75	22.88	0	12.25	43.12	100.75	16.5	0	157	0	0	39.25	20.5	0	0	114.38	71.75	270	52.38	386.75	76.88	0	12.75	0	14.75	17.75	704.12	0	0	0	0	0	0	0	0	0	29.75	14.75	42	16	10812.62
5	27.38	0	146.5	0	0	17.25	66.5	0	0	0	0	20.62	0	0	0	12.75	56	16.5	0	98.88	0	0	0	78.5	0	13.25	12.75	0	25.75	0	15.88	161.38	0	0	0	22.62	0	0	0	0	0	0	0	145.5	0	0	0	0	0	0	52.25	0	14	0	16.75	0	0	154.38	0	0	0	0	0	39.75	0	0	35.25	32.25	24.25	0	0	482.62	14	0	69.12	0	0	36.38	44.38	0	120.38	75.25	0	0	12.25	0	0	0	0	23.25	0	76	22.62	0	0	0	24.62	0	0	0	0	125.5	0	114.25	525.62	0	24.62	13.25	0	37.75	24.5	91.12	0	0	74.62	22.75	0	0	79.38	12.25	0	19.25	0	0	22	0	59.62	57.62	0	0	0	0	109.38	0	82.88	0	0	19.38	0	33.75	0	0	0	256.5	35.12	0	0	128.12	53.62	0	0	0	28.38	0	0	0	0	0	0	0	20.25	0	0	71.88	280.62	0	30.38	77.62	0	0	0	0	0	0	0	0	0	20.12	0	77.12	0	20.5	0	0	666.62	0	0	0	16	13.38	390.25	17	0	0	0	0	0	20.5	0	69.12	34.75	41.62	0	104.75	114	81.12	0	0	432.88	97.38	0	12.75	0	32	22.5	32.12	0	0	28.62	106.88	14	0	171.12	25.75	0	34.12	16.38	0	0	106.88	57.25	250.75	59.75	429.38	50	0	23.38	0	17.88	0	833.75	0	16.25	0	0	0	0	0	0	0	26.38	0	68.25	17.25	10964
6	41.38	0	99.12	0	0	18.25	74	0	0	0	0	20.5	0	0	0	0	50.25	18.38	0	95.5	0	0	0	86.5	0	31.88	12.75	0	24.75	0	12.75	152.12	0	0	0	62.75	0	0	0	0	0	0	0	141.12	0	0	0	0	0	0	46.62	0	14	0	16.75	0	0	166.38	0	69.38	0	0	0	36.12	15	0	40.88	0	0	0	0	476.62	0	0	67	0	0	35.62	51.12	0	113.38	109.25	0	0	0	0	0	0	0	18.38	0	58.5	23	0	0	0	25.12	0	0	0	0	108.88	0	110.75	559	15.25	29.5	13	0	0	27.12	122.5	0	0	70.38	0	0	0	81.62	12.25	0	21.5	0	0	21	0	52.62	66.38	0	0	0	0	123.75	0	81.88	0	16.62	20.25	0	33.25	0	0	0	300.25	32.75	0	0	131.88	45.75	0	0	0	23.38	0	0	0	14.88	15	0	0	15.25	0	0	59.5	320.12	0	101.12	47.62	0	12.75	12.62	0	19.5	16	0	0	0	16.5	0	99.88	0	25.38	0	14	667.88	0	0	0	12.75	0	370.25	15	0	0	0	0	0	20.38	0	82	30	44.62	0	87.25	120.5	78.75	0	20.25	437	86.62	0	40.12	0	31	31.5	17.62	0	0	0	104.38	0	0	156.5	37.12	0	29.38	14	0	0	102.12	34.12	235	66.62	431.75	66.5	0	17.38	54	31.38	23.38	787.12	0	17.62	0	0	0	0	26.38	0	15.75	18.62	14.75	51.75	19.75	11143.38
7	87	0	112.12	0	0	27.25	74.38	0	0	0	26.88	0	0	0	12.75	0	42.62	17.25	0	104.12	0	0	0	112	0	54.25	17	0	26.5	12.75	14	73.12	0	0	0	63.12	0	14.75	12.75	0	0	16.5	0	132.5	0	0	0	0	0	0	49.88	0	14	22.12	15.75	0	0	109	0	77.25	0	0	12.12	44.88	24.12	0	45.88	66.88	0	0	0	474.12	0	0	33.38	0	0	29.12	54	0	131	131.25	0	0	0	0	0	0	0	20.62	0	42.12	0	0	0	0	27.62	0	0	0	0	88.75	0	104.12	571.62	15.25	13.38	0	0	0	26.5	93.12	0	0	74	0	12.75	21.12	75.62	12.38	0	19.25	0	0	21.38	0	29	62.75	0	0	0	52.38	107.25	0	83.88	0	12.75	21.62	0	17.62	0	0	0	301	35.62	0	0	90.12	38.5	0	0	0	19.88	0	0	0	23.25	27.88	0	0	0	0	0	23.25	315.12	0	152.62	25.88	0	18.38	26.5	0	19.5	16.88	14	0	0	0	0	80.38	0	23.12	0	14	658.75	0	0	0	12.75	0	375.75	15	0	0	0	0	0	19	0	99.5	43.12	41.12	0	48.62	76.75	71.75	0	23.38	422.75	86.25	0	0	33.12	27.62	31.5	31	0	12.38	0	113.12	12.5	0	198.5	16	0	14.88	0	0	0	104.75	16.12	213.88	67.75	439.75	58	0	17.38	57.75	39.62	19	741.62	0	22.25	0	0	0	0	46.25	0	13.5	0	0	37.62	19.25	10778.88
8	137.38	0	112.88	0	0	27.25	55.25	0	0	0	0	0	16.5	0	12.75	0	31.5	13.88	0	104.88	0	0	0	107.5	0	82.62	0	0	44.75	32.62	13	19.38	0	0	0	82.5	0	12.75	0	0	0	36.38	0	124.5	0	12.75	0	12.75	14	0	34	0	0	0	16.12	0	0	89.12	0	73.12	0	24.62	30	58.5	38.12	0	50	77.12	0	0	0	499.12	0	0	0	0	0	80	42.75	0	139.12	172.62	0	0	0	0	0	0	0	27.25	123	38.38	0	0	0	0	32	0	0	0	0	79.62	0	92.25	632.75	16.25	20.88	0	0	0	25.38	74.38	0	0	51.88	0	0	0	70.5	0	0	35	13.62	0	22.12	0	29	71.62	0	0	0	34.88	97.12	0	84.38	0	0	22.88	0	12.75	0	0	0	558.62	39.62	0	0	70.88	32	0	0	0	18	0	0	0	24.12	56.38	0	0	0	0	0	0	310.88	0	128.25	16.75	0	23.62	31.25	0	26.62	12.38	16.5	0	0	18.75	0	92.75	0	20.88	0	17.88	670.75	0	13.12	0	0	14.75	312	15	0	0	0	0	0	16.88	0	109	28.5	29.75	0	20.62	88.62	70.62	0	34.88	418.75	78.5	0	0	46	12.5	39.38	15.25	0	15.5	0	113.62	0	0	256.25	0	0	0	0	0	0	50.12	0	214.38	67	465.5	57	0	17.38	57.75	39.62	0	698.62	0	17.5	0	0	0	0	60	0	13.5	0	0	23.12	16	11064.38
9	173.62	0	122	0	0	29	69.12	0	0	0	0	0	0	13.75	12.75	0	32.75	16.25	0	101	0	0	0	156.12	0	63.62	0	0	58.62	46.5	15	0	0	0	0	78.88	0	12	0	0	0	39.25	0	124	0	24.62	0	15	12.62	0	33.5	15.25	0	16.62	16.12	0	0	80.62	18.25	57.12	0	29.38	16.5	62.5	53.25	0	60	84.5	0	0	0	491.25	0	0	0	0	0	85.38	44.5	0	149.12	193	37.88	0	0	0	0	0	0	36.25	139.62	32.75	0	12.88	0	0	33.25	0	20.25	0	0	65.25	0	85.25	683.88	13.62	0	0	0	25.25	19.88	72.12	0	0	57.25	0	0	0	40	0	0	67.88	18.25	0	21.12	0	25.25	61.75	0	0	0	41.88	106.12	0	81.38	0	0	22	0	0	0	0	0	585	31.75	0	12.75	63.75	26.38	0	0	0	0	14	0	0	16.88	74.38	0	0	0	0	0	0	296.38	0	140.88	19.25	0	27	12.75	0	47.62	0	18.75	0	0	18	0	115	20.25	35.75	0	17.25	658.62	0	0	0	0	0	286.5	16.12	12.62	0	0	0	0	18.38	0	118.12	30.75	19.75	0	0	18.12	101.5	0	12.62	427.12	93.75	0	0	78	0	77.38	32.38	0	0	0	105.5	0	0	285.5	28.38	0	0	0	0	0	43.62	0	216.5	79.12	497.88	54.88	0	17.38	52.38	20	29.75	662.12	0	0	0	0	0	0	48.25	0	13.5	16.88	17.25	19.38	20.88	11415.5
10	222.25	0	135.75	0	0	31	78.88	0	0	0	0	0	0	17.62	0	0	15.38	14.62	0	96	0	0	0	135.38	0	56.25	17.62	0	71.25	42	20.38	12	0	0	0	79.12	0	0	15	0	0	0	0	81.62	0	16.5	0	38.38	14	17.88	40.12	0	0	0	43.38	0	0	86.38	0	42.5	0	33.75	0	67.88	54.62	0	64.38	87.5	0	0	0	481.12	0	0	21	0	0	92.25	41.38	0	180.88	222	36.12	0	0	0	0	0	0	38.88	142.5	29.5	0	15.62	0	0	42.5	23.5	19.62	0	0	61.88	0	90.12	681	0	12.88	0	0	15.12	25.5	80	0	0	37.38	0	0	0	12.62	14.62	0	92.5	0	0	26.62	0	30.62	60.38	0	0	21.25	37.62	99.5	0	78.5	0	0	24.5	0	17.62	0	0	0	594.25	32.88	0	0	66.38	20.38	0	0	0	0	14	0	0	14.38	64.5	0	0	17.25	0	0	18.88	293	0	195.25	0	0	21.88	0	0	81.88	0	0	0	0	0	14	0	25.12	40.75	12.38	23.5	617.75	0	0	32	0	14.5	392.75	14	0	0	0	0	0	17.5	0	110.12	26.12	18.75	0	0	69.62	70	0	0	419.25	87.62	0	0	104.38	0	49	33.12	0	0	29	71.38	0	0	257.12	28.75	0	0	0	0	0	66.5	18	211.25	88.62	486.12	46.12	0	14.75	52.62	16.5	23.75	631.88	0	0	0	0	12.75	0	47.88	0	28.62	23.75	27.88	0	27.62	11513.5
